location,year,total,fatal,severe,light
0.1,2003.0,7.0,0.0,2.0,5.0
0.1,2004.0,8.0,0.0,1.0,7.0
0.1,2005.0,9.0,0.0,1.0,8.0
0.1,2006.0,5.0,0.0,1.0,4.0
0.1,2007.0,6.0,0.0,0.0,6.0
0.1,2008.0,3.0,0.0,0.0,3.0
0.1,2009.0,10.0,0.0,0.0,10.0
0.1,2010.0,4.0,0.0,0.0,4.0
0.1,2011.0,7.0,0.0,2.0,5.0
0.1,2012.0,4.0,0.0,1.0,3.0
0.1,2013.0,5.0,0.0,0.0,5.0
0.1,2014.0,1.0,0.0,1.0,0.0
0.1,2015.0,8.0,1.0,1.0,6.0
0.1,2016.0,6.0,1.0,0.0,5.0
0.1,2017.0,3.0,1.0,0.0,2.0
0.1,2018.0,11.0,0.0,1.0,10.0
0.1,2019.0,18.0,2.0,4.0,12.0
0.1,2020.0,15.0,1.0,2.0,12.0
0.1,2021.0,15.0,0.0,1.0,14.0
0.1,2022.0,1.0,0.0,1.0,0.0
0.2,2003.0,9.0,0.0,2.0,7.0
0.2,2004.0,9.0,0.0,1.0,8.0
0.2,2005.0,12.0,0.0,4.0,8.0
0.2,2006.0,18.0,0.0,2.0,16.0
0.2,2007.0,9.0,0.0,1.0,8.0
0.2,2008.0,8.0,0.0,1.0,7.0
0.2,2009.0,7.0,0.0,1.0,6.0
0.2,2010.0,1.0,0.0,0.0,1.0
0.2,2011.0,4.0,0.0,1.0,3.0
0.2,2012.0,6.0,1.0,0.0,5.0
0.2,2013.0,1.0,0.0,0.0,1.0
0.2,2014.0,3.0,0.0,0.0,3.0
0.2,2015.0,6.0,0.0,1.0,5.0
0.2,2016.0,7.0,0.0,5.0,2.0
0.2,2017.0,2.0,0.0,0.0,2.0
0.2,2018.0,11.0,1.0,2.0,8.0
0.2,2019.0,12.0,0.0,3.0,9.0
0.2,2020.0,16.0,0.0,1.0,15.0
0.2,2021.0,24.0,2.0,4.0,18.0
0.2,2022.0,2.0,0.0,0.0,2.0
0.3,2003.0,3.0,0.0,0.0,3.0
0.3,2004.0,3.0,0.0,0.0,3.0
0.3,2005.0,6.0,0.0,1.0,5.0
0.3,2006.0,7.0,0.0,0.0,7.0
0.3,2007.0,4.0,0.0,1.0,3.0
0.3,2008.0,6.0,1.0,0.0,5.0
0.3,2009.0,8.0,1.0,1.0,6.0
0.3,2010.0,4.0,0.0,0.0,4.0
0.3,2011.0,3.0,0.0,0.0,3.0
