year,month,day_of_week,day_night,accident_severity,accident_type,killed,severly_injured,lightly_injured,injured_pedestrians,casualties_ages_0-19,casualties_ages_20-64,casualties_ages_65_plus,total_casualties,vehicle_count,drivers,road_type,localization_quality,settlement,road1,location,road2,road3,road4,source_road
2003,February,Friday,Night,Light,Front to rear collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,February,Tuesday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,April,Sunday,Night,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,5720.0,,,4
2003,July,Saturday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,85.0,,,4
2003,January,Wednesday,Night,Light,Front to rear collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,April,Monday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,September,Wednesday,Night,Light,Front to side collision,0.0,0.0,4.0,0.0,1.0,3.0,0.0,4.0,2.0,2.0,Junction,Exact,,4.0,,85.0,,,4
2003,February,Monday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,5613.0,,,4
2003,December,Monday,Night,Light,Front to rear collision,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,8510.0,,,4
2003,November,Sunday,Night,Light,Front to rear collision,0.0,0.0,4.0,0.0,3.0,1.0,0.0,4.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,November,Sunday,Night,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,5720.0,,,4
2003,November,Sunday,Night,Light,Hit an object,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,Junction,Exact,,4.0,,75.0,,,4
2003,March,Thursday,Night,Light,Hit an object,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,Junction,Exact,,4.0,,85.0,,,4
2003,March,Wednesday,Night,Light,Pedestrian,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,Junction,Exact,,4.0,,,,,4
2003,March,Friday,Night,Light,Front to side collision,0.0,0.0,7.0,0.0,0.0,7.0,0.0,7.0,2.0,2.0,Junction,Exact,,4.0,,75.0,,,4
2003,October,Saturday,Night,Severe,Front to side collision,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,85.0,,,4
2003,November,Saturday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,4.0,Junction,Exact,,4.0,,,,,4
2003,July,Friday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,March,Saturday,Night,Light,Front to rear collision,0.0,0.0,9.0,0.0,0.0,9.0,0.0,9.0,3.0,3.0,Junction,Exact,,4.0,,5701.0,,,4
2003,February,Thursday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,65.0,,,4
2003,January,Tuesday,Night,Light,Front to side collision,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,August,Tuesday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,65.0,,,4
2003,September,Monday,Night,Light,Front to rear collision,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,July,Thursday,Night,Light,Side to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,Junction,Exact,,4.0,,,,,4
2003,January,Wednesday,Night,Light,Front to rear collision,0.0,0.0,6.0,0.0,5.0,1.0,0.0,6.0,2.0,2.0,Junction,Exact,,4.0,,752.0,,,4
2003,February,Friday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,65.0,,,4
2003,July,Tuesday,Night,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,August,Saturday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,85.0,,,4
2003,September,Friday,Night,Light,Front to side collision,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,2.0,Junction,Exact,,4.0,,79.0,,,4
2003,May,Wednesday,Night,Light,Front to rear collision,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,Junction,Exact,,4.0,,,,,4
2003,April,Saturday,Night,Severe,Front to side collision,0.0,5.0,1.0,0.0,0.0,6.0,0.0,6.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,December,Saturday,Night,Light,Hit an object,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,Junction,Exact,,4.0,,,,,4
2003,March,Saturday,Night,Light,Roll over,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Junction,Exact,,4.0,,752.0,,,4
2003,July,Saturday,Night,Light,Front to side collision,0.0,0.0,6.0,0.0,4.0,2.0,0.0,6.0,2.0,2.0,Junction,Exact,,4.0,,57.0,,,4
2003,September,Saturday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2003,March,Tuesday,Night,Fatal,Front to side collision,2.0,2.0,1.0,0.0,2.0,3.0,0.0,5.0,3.0,3.0,Junction,Exact,,4.0,,,,,4
2003,January,Tuesday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,85.0,,,4
2003,April,Monday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,653.0,,,4
2003,December,Sunday,Night,Fatal,Side to side collision,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,8915.0,,,4
2003,December,Sunday,Night,Light,Front to rear collision,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,Junction,Exact,,4.0,,75.0,,,4
2003,January,Wednesday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,79.0,,,4
2003,October,Friday,Day,Severe,Front to side collision,0.0,1.0,6.0,0.0,2.0,5.0,0.0,7.0,3.0,3.0,Junction,Exact,,4.0,,65.0,,,4
2003,October,Sunday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,Junction,Exact,,4.0,,581.0,,,4
