year,location,total,killed,severe_injury,light_injury
2003.0,14.6,4,0.0,0.0,4.0
2003.0,16.5,4,0.0,0.0,4.0
2003.0,24.3,11,0.0,0.0,11.0
2003.0,39.9,4,0.0,0.0,4.0
2003.0,43.0,27,1.0,4.0,22.0
2003.0,45.1,2,1.0,0.0,1.0
2003.0,47.5,4,0.0,0.0,4.0
2003.0,48.7,4,0.0,0.0,4.0
2003.0,51.0,9,1.0,4.0,4.0
2003.0,52.3,5,0.0,1.0,4.0
2003.0,53.9,2,0.0,0.0,2.0
2003.0,58.0,5,0.0,0.0,5.0
2003.0,63.8,2,0.0,0.0,2.0
2003.0,64.9,2,0.0,0.0,2.0
2003.0,75.1,3,0.0,0.0,3.0
2003.0,87.2,4,0.0,2.0,2.0
2003.0,98.5,6,0.0,1.0,5.0
2003.0,100.3,9,0.0,1.0,8.0
2003.0,111.1,18,0.0,0.0,18.0
2003.0,117.7,1,1.0,0.0,0.0
2003.0,135.8,2,0.0,0.0,2.0
2003.0,136.8,6,0.0,0.0,6.0
2003.0,140.0,4,0.0,0.0,4.0
2003.0,147.1,3,2.0,0.0,1.0
2003.0,154.8,11,0.0,0.0,11.0
2003.0,155.1,4,0.0,0.0,4.0
2003.0,155.0,6,0.0,1.0,5.0
2003.0,163.6,3,0.0,1.0,2.0
2003.0,180.1,1,0.0,1.0,0.0
2003.0,191.0,12,0.0,0.0,12.0
2003.0,204.1,2,0.0,0.0,2.0
2003.0,206.7,21,0.0,2.0,19.0
2003.0,216.1,5,0.0,0.0,5.0
2003.0,230.1,7,0.0,0.0,7.0
2003.0,230.5,1,0.0,0.0,1.0
2003.0,242.1,1,1.0,0.0,0.0
2003.0,244.1,1,0.0,0.0,1.0
2003.0,244.5,3,0.0,1.0,2.0
2003.0,368.2,1,0.0,1.0,0.0
2003.0,369.2,1,0.0,1.0,0.0
2003.0,372.4,2,0.0,0.0,2.0
2003.0,375.5,6,0.0,0.0,6.0
2003.0,379.9,4,0.0,0.0,4.0
2003.0,390.7,4,0.0,1.0,3.0
2003.0,397.7,1,0.0,0.0,1.0
2003.0,400.3,5,0.0,1.0,4.0
2003.0,400.5,6,0.0,3.0,3.0
2003.0,400.9,4,0.0,0.0,4.0
2003.0,401.9,11,0.0,0.0,11.0
2003.0,403.8,8,0.0,0.0,8.0
2003.0,404.7,1,0.0,0.0,1.0
2003.0,405.0,5,0.0,1.0,4.0
2003.0,406.0,1,0.0,0.0,1.0
2003.0,409.4,6,0.0,0.0,6.0
2003.0,410.7,1,0.0,0.0,1.0
2003.0,411.0,2,0.0,0.0,2.0
2003.0,411.1,3,0.0,0.0,3.0
2003.0,413.8,2,0.0,1.0,1.0
2003.0,414.0,5,0.0,0.0,5.0
2003.0,416.1,1,0.0,0.0,1.0
2003.0,416.5,2,0.0,0.0,2.0
2003.0,416.6,1,0.0,0.0,1.0
2003.0,418.1,6,0.0,0.0,6.0
2003.0,418.9,1,0.0,0.0,1.0
2003.0,420.4,9,0.0,0.0,9.0
2003.0,420.5,5,0.0,0.0,5.0
2003.0,421.5,5,0.0,0.0,5.0
2003.0,421.7,6,0.0,0.0,6.0
2003.0,422.5,2,0.0,0.0,2.0
2003.0,426.1,1,0.0,0.0,1.0
2003.0,434.5,2,0.0,0.0,2.0
2003.0,437.1,6,0.0,0.0,6.0
2003.0,438.0,5,0.0,0.0,5.0
2003.0,439.0,1,0.0,0.0,1.0
